Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,"Health expenditure per capita, PPP (constant 2011 international $)","Life expectancy at birth, total (years)",Region And Year,,Year,"Total population (Gapminder, HYDE & UN)",Continent,"GDP per capita, PPP (constant 2011 international $)",Diabetes prevalence (% of population ages 20 to 79),,,,,,,,,,,,,Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,"GDP per capita, PPP (constant 2011 international $)",Diabetes prevalence (% of population ages 20 to 79),Region and year
Africa,,-10000,241901,,,,Africa-10000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-10000,241901,,,,Africa-10000
Africa,,-9000,342782,,,,Africa-9000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-9000,342782,,,,Africa-9000
Africa,,-8000,490284,,,,Africa-8000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-8000,490284,,,,Africa-8000
Africa,,-7000,707844,,,,Africa-7000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-7000,707844,,,,Africa-7000
Africa,,-6000,1031529,,,,Africa-6000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-6000,1031529,,,,Africa-6000
Africa,,-5000,1517227,,,,Africa-5000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-5000,1517227,,,,Africa-5000
Africa,,-4000,2352091,,,,Africa-4000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-4000,2352091,,,,Africa-4000
Africa,,-3000,4147835,,,,Africa-3000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-3000,4147835,,,,Africa-3000
Africa,,-2000,6259743,,,,Africa-2000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-2000,6259743,,,,Africa-2000
Africa,,-1000,9263872,,,,Africa-1000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,-1000,9263872,,,,Africa-1000
Africa,,0,15185668,,,,Africa0,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,0,15185668,,,,Africa0
Africa,,100,16626739,,,,Africa100,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,100,16626739,,,,Africa100
Africa,,200,18269986,,,,Africa200,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,200,18269986,,,,Africa200
Africa,,300,19315228,,,,Africa300,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,300,19315228,,,,Africa300
Africa,,400,20676600,,,,Africa400,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,400,20676600,,,,Africa400
Africa,,500,22307212,,,,Africa500,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,500,22307212,,,,Africa500
Africa,,600,24445556,,,,Africa600,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,600,24445556,,,,Africa600
Africa,,700,28184552,,,,Africa700,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,700,28184552,,,,Africa700
Africa,,800,32914604,,,,Africa800,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,800,32914604,,,,Africa800
Africa,,900,37126288,,,,Africa900,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,900,37126288,,,,Africa900
Africa,,1000,41465160,,,,Africa1000,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1000,41465160,,,,Africa1000
Africa,,1100,44318856,,,,Africa1100,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1100,44318856,,,,Africa1100
Africa,,1200,47743012,,,,Africa1200,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1200,47743012,,,,Africa1200
Africa,,1300,53531812,,,,Africa1300,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1300,53531812,,,,Africa1300
Africa,,1400,57880048,,,,Africa1400,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1400,57880048,,,,Africa1400
Africa,,1500,62206640,,,,Africa1500,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1500,62206640,,,,Africa1500
Africa,,1600,72815088,,,,Africa1600,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1600,72815088,,,,Africa1600
Africa,,1700,80209440,,,,Africa1700,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1700,80209440,,,,Africa1700
Africa,,1710,81333552,,,,Africa1710,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1710,81333552,,,,Africa1710
Africa,,1720,81582976,,,,Africa1720,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1720,81582976,,,,Africa1720
Africa,,1730,81891216,,,,Africa1730,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1730,81891216,,,,Africa1730
Africa,,1740,82256496,,,,Africa1740,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1740,82256496,,,,Africa1740
Africa,,1750,82677328,,,,Africa1750,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1750,82677328,,,,Africa1750
Africa,,1760,83152512,,,,Africa1760,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1760,83152512,,,,Africa1760
Africa,,1770,83681184,,,,Africa1770,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1770,83681184,,,,Africa1770
Africa,,1780,84262792,,,,Africa1780,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1780,84262792,,,,Africa1780
Africa,,1790,84900352,,,,Africa1790,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1790,84900352,,,,Africa1790
Africa,,1800,85589224,,,,Africa1800,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1800,85589224,,,,Africa1800
Africa,,1810,86829040,,,,Africa1810,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1810,86829040,,,,Africa1810
Africa,,1820,89179576,,,,Africa1820,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1820,89179576,,,,Africa1820
Africa,,1830,93551648,,,,Africa1830,,2019,1308064000,,,,,,,,,,,,,,,,Africa,,1830,93551648,,,,Africa1830
