Report generated on: 10-22-2020 17:25:43
"API","","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","World","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-WORL-QBTU.A","    Production (quad Btu)","295.87317419537226","290.8999864212522","289.6746881427063","292.6595643167707","308.5640189660278","316.1178818753959","326.34720541830046","333.9615106214162","346.8867841133737","353.5930023607587","357.1961373664582","354.4314840207197","353.3161602724547","354.2085609574582","360.2226013706408","368.04124740107494","377.25659740811284","381.8781953545464","386.34661782987007","386.29163095743803","399.58415806309193","405.3367787295004","407.04131651205574","422.76424675641033","444.8888835951897","460.8160718599084","472.76572165623537","481.19052770492766","494.0486070898158","492.12921399118505","519.0334971037109","534.2487740265861","547.2625120090167","554.3793500353063","563.9317005526077","568.1450985402315","563.5001466118105","576.2395632518416"
"INTL.4411-1-WORL-QBTU.A","        Coal (quad Btu)","79.65159468837224","80.07433407206823","82.95266874370633","83.29920421010868","87.31319630942777","91.33414679139587","93.64051705980046","95.85271114941622","97.96048357837374","99.28073806475868","98.67315681923372","94.14795184166971","92.09925381610466","89.6220858703132","91.2963454099508","92.75045780118992","94.76850441546783","94.97472810309641","94.62798779414508","93.30686041664305","96.06510191172691","100.40504111684038","101.21164124609075","108.80504238976536","117.48023795700975","125.41567921671839","131.98045949904136","137.6166090738945","142.06582027277682","144.14664486503204","155.0018317585516","164.76357102198884","170.72160740263055","172.4694587237993","172.47962181048624","167.53715638054425","157.02026084255962","162.5690126517034"
"INTL.4413-1-WORL-QBTU.A","        Natural gas (quad Btu)","54.761045594","55.573536747","55.495522664","56.115951591","61.758597532","64.124522824","65.3286482","68.456090111","71.852937709","74.275334695","75.71061055622445","76.54630922805","76.98422316215","78.26171644017","79.09593181919","80.259389028885","82.472672797445","82.67449658445","84.254563484725","86.177673629795","89.284232201125","91.07169452946","93.015439943915","96.017745427345","98.69077144902","102.05366759534","105.9648831963465","108.24629312239315","111.655585316465","109.557474242312","116.9456786391905","121.00264316649792","123.53319087066691","125.0319148566211","126.99005268263717","129.64451519214128","130.87610482247993","136.66179059851913"
"INTL.4415-1-WORL-QBTU.A","        Petroleum and other liquids (quad Btu)","133.1102626152","125.438191320684","119.763580494","119.269326588162","122.552942918","121.133986303","126.5471908445","127.4145892415","132.4830592126","134.514645029","136.2002298395","135.6850502755","136.0295408564","136.166146502975","138.8026229805","141.797063329","145.332413564","149.4127162175","152.298721786","150.203037148","156.3564075242","155.5951240435","153.9332683825","159.026558207","166.8561161266","169.6835183735","169.3671125745","169.0018302415","171.5328944392","168.7592933485","172.97905153626726","173.41922856175873","177.65128143541264","177.55081647012594","182.23513193315392","187.43125536483365","188.348805688391","188.775332392919"
"INTL.4419-1-WORL-QBTU.A","        Nuclear, renewables, and other (quad Btu)","28.3502712978","29.8139242815","31.462916241","33.9750819275","36.9392822066","39.525225957","40.830849314","42.2381201195","44.5903036134","45.522284572","46.6121401515","48.0521726755","48.2031424378","50.158612144","51.027701161","53.234337242","54.6830066312","54.8162544495","55.165344765","56.604059763","57.87841642604","58.2649190397","58.88096693955","58.9149007323","61.86175806256","63.66320667435","65.4532663863475","66.32579526714","68.794307061374","69.66580153534098","74.10693516970152","75.0633312763407","75.35643230030671","79.32715998475999","82.22689412633035","83.53217160271228","87.2549752583799","88.2334276087"
"INTL.4417-1-WORL-QBTU.A","            Nuclear (quad Btu)","7.575723115","8.527174555","9.507694575","10.718344169","12.994662052","15.298596084","16.247914241","17.643905343","19.226919252","19.740032696","20.356923849","21.18298292","21.279755692","22.008422938","22.40589607","23.257765515","24.107781169","23.880133151","24.307300185","25.083823811","25.650326912","26.382870167","26.671667514","26.295273546","27.248786059","27.304582076","27.670066255","27.162769414","27.030150094","26.641576333","27.379908454","26.247571931","24.474277238","24.652071186","25.138527881","25.437640028","25.71336899655","25.8975720158"
"INTL.4418-1-WORL-QBTU.A","            Renewables and other (quad Btu)","20.7745481828","21.2867497265","21.955221666","23.2567377585","23.9446201546","24.226629873","24.582935073","24.5942147765","25.3633843614","25.782251876","26.2552163025","26.8691897555","26.9233867458","28.150189206","28.621805091","29.976571727","30.5752254622","30.9361212985","30.85804458","31.520235952","32.22808951404","31.8820488727","32.20929942555","32.6196271863","34.61297200356","36.35862459835","37.7832001313475","39.16302585314","41.764156967374","43.02422520234097","46.72702671570152","48.8157593453407","50.88215506230671","54.67508879875999","57.088366245330356","58.094531574712285","61.54160626182989","62.3358555929"
"","Afghanistan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-AFG-QBTU.A","    Production (quad Btu)","0.07256115380748066","0.09272365274844369","0.09506786415846949","0.09971280615846949","0.09982734303917455","0.12096783009943252","0.12054976892110061","0.114835081155632","0.1213943959239381","0.1192256243355804","0.11883270034801532","0.020505265929613076","0.016142546028099742","0.016076217734531384","0.01602405594096303","0.01173932564739467","0.012296322030705074","0.011832375737136715","0.011602889737136716","0.011591797443568358","0.011706709443568358","0.007509174600988823","0.007910393953594155","0.007810977272656924","0.007071474979088566","0.007292052505967328","0.007750630272656924","0.01368175746235599","0.014057641097205524","0.01858013914377475","0.02692579367150454","0.04104421211242948","0.037492262916033615","0.040329972280627895","0.044095276519336056","0.04194616929038834","0.04950511782484147","0.05950054255404184"
"INTL.4411-1-AFG-QBTU.A","        Coal (quad Btu)","0.0023552858074806604","0.0024740397484436876","0.002869886158469484","0.002869886158469484","0.0029292630391745574","0.002988640099432511","0.0031667709211006113","0.003305317155631996","0.0027313399239380994","0.0025136243355804028","0.002078193338417891","0.0018604779296130752","0.0001583385280997425","0.00013854623453138476","0.00011875394096302701","0.00009896164739466925","0.000059376880705073264","0.00003958458713671551","0.00003958458713671551","0.000019792293568357753","0.000019792293568357753","0.0005146003509888235","0.00041563870359415426","0.0006927311726569238","0.000672938879088566","0.0006531464059673279","0.0006927311726569238","0.00480953326235599","0.006867934307205523","0.00989615899377475","0.014349430612794539","0.029292594481169477","0.024542444024763615","0.026660219436577894","0.030032826260626058","0.027016480720808336","0.03360731447907147","0.04336491520827184"
"INTL.4413-1-AFG-QBTU.A","        Natural gas (quad Btu)","0.06282","0.082713","0.084807","0.088995","0.088995","0.109935","0.109935","0.103653","0.110982","0.108888","0.10889059500959744","0.011517","0.0110924415","0.0110924415","0.01108773","0.00739182","0.00850420515","0.00850420515","0.00850420515","0.00850420515","0.00850420515","0.00184874025","0.00184874025","0.0007394961","0.0007394961","0.0007394961","0.0007394961","0.0014789922","0.00184874025","0.00110924415","0.00524668025871","0.00596768283126","0.00592701089127","0.00571255884405","0.00524668025871","0.00540567056958","0.00611188334577","0.00611188334577"
"INTL.4415-1-AFG-QBTU.A","        Petroleum and other liquids (quad Btu)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"INTL.4419-1-AFG-QBTU.A","        Nuclear, renewables, and other (quad Btu)","0.007385868","0.007536613","0.007390978","0.00784792","0.00790308","0.00804419","0.007447998","0.007876764","0.007681056","0.007824","0.007863912","0.007127788","0.004891766","0.00484523","0.004817572","0.004248544","0.00373274","0.003288586","0.0030591","0.0030678","0.003182712","0.005145834","0.005646015","0.00637875","0.00565904","0.00589941","0.006318403","0.007393232","0.00534096654","0.007574736","0.0073296828","0.0057839348","0.007022808","0.007957194","0.00881577","0.009524018","0.00978592","0.010023744"
"none","            Nuclear (quad Btu)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.4418-1-AFG-QBTU.A","            Renewables and other (quad Btu)","0.007385868","0.007536613","0.007390978","0.00784792","0.00790308","0.00804419","0.007447998","0.007876764","0.007681056","0.007824","0.007863912","0.007127788","0.004891766","0.00484523","0.004817572","0.004248544","0.00373274","0.003288586","0.0030591","0.0030678","0.003182712","0.005145834","0.005646015","0.00637875","0.00565904","0.00589941","0.006318403","0.007393232","0.00534096654","0.007574736","0.0073296828","0.0057839348","0.007022808","0.007957194","0.00881577","0.009524018","0.00978592","0.010023744"
"","Albania","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.44-1-ALB-QBTU.A","    Production (quad Btu)","0.1555573306336458","0.1586896750318745","0.20594894134508174","0.23469253904545148","0.19102471227402412","0.19173281327692182","0.19659839752877048","0.202389614462528","0.18641906369598457","0.1949180429560018","0.12711963306505863","0.09543476951565781","0.065518915132227","0.06283882600354257","0.06650750362662941","0.0677847822256234","0.08270022766869303","0.0731137259599914","0.06574133558819432","0.06757414148819432","0.060933585384608774","0.05147175920922614","0.051346007092304385","0.06887567076357695","0.07130486526357696","0.07081984267691316","0.06835505817691316","0.042793297976913156","0.052527160472037836","0.06412317997820292","0.10026354184673143","0.07532562862134677","0.08448750472117779","0.10630044369534095","0.09343021361961915","0.10253380808895914","0.12011077831056832","0.08001075269033325"
"INTL.4411-1-ALB-QBTU.A","        Coal (quad Btu)","0.013229038633645784","0.014367221031874504","0.01585991934508173","0.01725932404545147","0.01875202227402413","0.020058133276921814","0.02021673252877048","0.019908863462528004","0.020375331695984582","0.02045929595600178","0.019321089690825508","0.010141006515657811","0.003414543132227009","0.0019964815035425684","0.0015766606266294115","0.00074634822562339","0.0010542168686930385","0.0003638447599914026","0.00045713828819432637","0.00045713828819432637","0.00027988058460877126","0.00019591640922613987","0.00013994029230438563","0.0005411024635769578","0.0005411024635769578","0.0004198208769131569","0.0004198208769131569","0.0004198208769131569","0.0005690905220378349","0.00009329352820292374","0.00009329352820292374","0.00004664676410146187","0.00006530546974204662","0.00008396417538263138","0.00015533371176268317","0.00022670324814273499","0.00013061093948409325","0.00014272730855546044"
"INTL.4413-1-ALB-QBTU.A","        Natural gas (quad Btu)","0.01047","0.011517","0.01047","0.011517","0.011517","0.01047","0.014658","0.016752","0.026175","0.026175","0.00942515337423312","0.00522","0.003760488","0.001105596","0.00110664","0.00110664","0.0011060658","0.0007373772","0.0011060658","0.0007373772","0.0011060658","0.0011060658","0.0011060658","0.0011060658","0.0011060658","0.0011060658","0.0011060658","0.0003651571","0.00107110395","0.00107110395","0.00035279685","0.00035279685","0.000599754645","0.000670314015","0.00112894992","0.001234788975","0.0015875723385","0.001763969265"
