Country,Year and survey,Multidimensional Poverty Index,Population in multidimensional poverty (%),Population in multidimensional poverty (thousands),Population in multidimensional poverty (% Intensity of deprivation),Population near multidimensional poverty (%),Population in severe poverty (%),Contribution of deprivation in dimension to overall poverty (% Education),Contribution of deprivation in dimension to overall poverty (% Health),Contribution of deprivation in dimension to overall poverty (% Living standards),
Bangladesh,2011 D,0.237,49.5,"75,610",47.8,18.8,21.0,28.4,26.6,44.9,
Bangladesh,2007 D,0.294,59.5,"87,185",49.3,18.7,27.2,26.0,26.5,47.5,
Belize,2011 M,0.030,7.4,23,41.2,6.4,1.5,36.2,34.8,29.0,
Belize,2006 M,0.028,6.9,19,40.8,6.5,1.2,13.8,52.6,33.6,
Benin,2011/2012 D,0.343,64.2,"6,455",53.3,16.9,37.7,33.1,24.8,42.1,
Benin,2006 D,0.401,69.8,"5,897",57.4,18.8,45.7,35.0,24.9,40.1,
Bosnia and Herzegovina,2011/2012 M,0.006,1.7,65,37.3,3.2,0.0,7.8,79.5,12.7,
Bosnia and Herzegovina,2006 M,0.013,3.5,134,38.1,5.3,0.1,7.9,76.3,15.8,
Brazil,2013 N,0.011,2.9,"5,738",40.2,7.2,0.4,27.6,40.7,31.7,
Brazil,2012 N,0.012,3.1,"6,083",40.8,7.4,0.5,27.7,38.4,33.9,
Brazil,2006 N,0.017,4.0,"7,578",41.4,11.2,0.7,41.4,20.4,38.2,
Burkina Faso,2010 D,0.508,82.8,"12,875",61.3,7.6,63.8,39.0,22.5,38.5,
Burkina Faso,2006 M,0.538,85.2,"11,775",63.2,6.9,67.1,38.0,22.3,39.6,
Burundi,2010 D,0.442,81.8,"7,553",54.0,12.0,48.2,25.0,26.3,48.8,
Burundi,2005 M,0.485,87.9,"6,833",55.2,8.5,53.5,37.8,11.1,51.1,
Cambodia,2010 D,0.211,46.8,"6,721",45.1,20.4,16.4,25.9,27.7,46.4,,,,,,,,
Cambodia,2005 D,0.282,58.0,"7,746",48.7,17.5,26.4,29.0,26.3,44.7,,,,,,,,
Cameroon,2011 D,0.260,48.2,"10,187",54.1,17.8,27.1,24.5,31.3,44.2,,,,,,,,
Cameroon,2006 M,0.304,51.8,"9,644",58.7,14.0,35.9,24.8,31.7,43.5,,,,,,,,
Central African Republic,2010 M,0.424,76.3,"3,320",55.6,15.7,48.5,23.8,26.2,50.0,,,,,,,,
Central African Republic,2006 M,0.464,80.5,"3,245",57.7,12.1,54.5,30.2,24.3,45.6,,,,,,,,
China,2012 N,0.023,5.2,"71,939",43.3,22.7,1.0,30.0,36.6,33.4,,,,,,,,
China,2009 N,0.026,6.0,"80,784",43.4,19.0,1.3,21.0,44.4,34.6,,,,,,,,
Congo,2011/2012 D,0.192,43.0,"1,866",44.7,26.2,12.2,10.6,32.8,56.6,,,,,,,,
Congo,2009 D,0.154,32.7,"1,308",47.1,29.9,15.1,16.2,25.6,58.2,,,,,,,,
Congo (Democratic Republic of the),2013/2014 D,0.369,72.5,"50,312",50.8,18.5,36.7,15.6,31.0,53.4,,,,,,,,
Congo (Democratic Republic of the),2010 M,0.399,74.4,"46,278",53.7,15.5,46.2,18.5,25.5,55.9,,,,,,,,
Cote d'Ivoire,2011/2012 D,0.307,59.3,"11,772",51.7,17.9,32.4,36.5,25.8,37.7,,,,,,,,
Cote d'Ivoire,2005 D,0.269,50.0,"8,693",53.9,22.7,26.7,42.8,20.8,36.5,,,,,,,,
Dominican Republic,2013 D,0.025,6.0,620,41.6,20.6,1.0,28.4,39.6,32.0,,,,,,,,
Dominican Republic,2007 D,0.026,6.2,599,41.9,10.8,1.4,36.2,30.4,33.3,,,,,,,,
Ecuador,2013/2014 N,0.015,3.7,588,39.6,8.4,0.5,23.6,42.4,34.0
Ecuador,2006 N,0.043,10.6,"1,486",40.9,9.4,2.1,22.2,44.3,33.5
Egypt,2014 D,0.016,4.2,"3,491",37.4,5.6,0.4,45.6,46.7,7.8
Egypt,2008 D,0.036,8.9,"6,740",40.3,8.6,1.5,41.8,45.6,12.6
Gambia,2013 D,0.289,57.2,"1,058",50.5,21.3,31.7,32.9,30.9,36.2
Gambia,2005/2006 M,0.329,60.8,901,54.1,15.7,35.9,34.0,30.5,35.5
Ghana,2011 M,0.144,30.5,"7,559",47.3,18.7,12.1,27.7,27.1,45.2
Ghana,2008 D,0.186,39.2,"9,057",47.4,20.3,15.4,26.5,28.5,45.0
Guinea,2012 D/M,0.425,73.8,"8,456",57.6,12.7,49.8,36.6,22.8,40.6
Guinea,2005 D,0.548,86.5,"8,283",63.4,7.7,68.6,34.4,22.3,43.3
Guyana,2009 D,0.031,7.8,61,40.0,18.8,1.2,16.8,51.2,32.0
Guyana,2007 M,0.032,7.9,61,40.1,10.7,1.5,16.9,44.8,38.3
Haiti,2012 D,0.242,50.2,"5,104",48.1,22.2,20.1,24.8,23.4,51.8
Haiti,2005/2006 D,0.315,59.3,"5,566",53.2,18.1,32.8,28.8,22.8,48.5
Honduras,2011/2012 D,0.098,20.7,"1,642",47.4,28.6,7.2,36.6,23.1,40.3
Honduras,2005/2006 D,0.156,31.5,"2,214",49.6,26.6,13.3,38.4,22.6,39.0
Indonesia,2012 D,0.024,5.9,"14,574",41.3,8.1,1.1,24.7,35.1,40.2
Indonesia,2007 D,0.043,10.1,"23,432",42.4,15.4,2.3,30.4,21.0,48.7
Iraq,2011 M,0.052,13.3,"4,236",39.4,7.4,2.5,50.1,38.6,11.3
Iraq,2006 M,0.077,18.5,"5,182",41.8,15.0,4.3,45.7,33.9,20.4
Jordan,2012 D,0.004,1.2,85,35.3,1.0,0.1,31.5,65.0,3.5
Jordan,2009 D,0.004,1.0,64,36.8,4.1,0.1,33.7,56.3,10.0
Kazakhstan,2010/2011 M,0.004,1.1,173,36.4,2.3,0.0,4.3,83.9,11.8
Kazakhstan,2006 M,0.007,1.8,277,38.5,4.7,0.2,5.5,73.4,21.2
Kyrgyzstan,2012 D,0.006,1.8,96,36.9,10.7,0.1,6.6,70.5,22.9
Kyrgyzstan,2005/2006 M,0.013,3.4,173,37.9,10.1,0.3,5.0,63.9,31.2
Lao People's Democratic Republic,2011/2012 M,0.186,36.8,"2,447",50.5,18.5,18.8,37.7,25.4,36.9
Lao People's Democratic Republic,2006 M,0.320,55.0,"3,242",58.3,11.1,35.2,32.3,32.6,35.2
Liberia,2013 D,0.356,70.1,"3,010",50.8,21.5,35.4,23.0,25.6,51.4
Liberia,2007 D,0.459,81.9,"2,883",56.1,12.9,52.8,30.4,21.8,47.8
Mali,2012/2013 D,0.456,78.4,"11,998",58.2,10.8,55.9,37.9,22.4,39.7
Mali,2006 D,0.533,85.6,"10,545",62.4,7.8,66.8,37.4,22.6,40.1
Mauritania,2011 M,0.291,55.6,"2,060",52.4,16.8,29.9,34.5,20.3,45.3
Mauritania,2007 M,0.362,66.0,"2,197",54.9,12.8,42.3,33.5,18.2,48.3
Mexico,2012 N,0.024,6.0,"7,272",39.9,10.1,1.1,31.4,25.6,43.0
Mexico,2006 N,0.028,6.9,"7,779",40.9,10.7,1.6,32.0,29.0,39.0
Moldova (Republic of),2012 M,0.004,1.1,38,38.4,2.2,0.1,11.0,66.9,22.1
Moldova (Republic of),2005 D,0.005,1.3,49,38.8,5.2,0.2,17.7,46.6,35.6
Mongolia,2010 M,0.047,11.1,302,42.5,19.3,2.3,18.1,27.7,54.2
Mongolia,2005 M,0.077,18.3,462,42.0,19.0,4.2,13.5,35.7,50.8
Montenegro,2013 M,0.002,0.5,3,38.9,2.0,0.0,22.0,59.9,18.1
Montenegro,2005/2006 M,0.012,3.0,19,40.1,1.3,0.5,21.0,63.8,15.3
Mozambique,2011 D,0.390,70.2,"17,246",55.6,14.8,44.1,30.4,22.3,47.3
Mozambique,2009 D,0.395,70.0,"16,343",56.5,14.7,43.2,31.3,20.3,48.4
Namibia,2013 D,0.205,44.9,"1,034",45.5,19.3,13.4,11.0,39.2,49.8
Namibia,2006/2007 D,0.200,42.1,876,47.5,22.6,15.7,14.8,33.4,51.8
Nepal,2011 D,0.197,41.4,"11,255",47.4,18.1,18.6,27.3,28.2,44.5
Nepal,2006 D,0.314,62.1,"15,910",50.6,15.5,31.6,26.0,28.0,46.0
Nicaragua,2011/2012 D,0.088,19.4,"1,146",45.6,14.8,6.9,37.8,12.6,49.6
Nicaragua,2006/2007 D,0.137,27.9,"1,561",49.2,15.3,12.9,38.1,12.3,49.7
Niger,2012 D,0.584,89.8,"15,408",65.0,5.9,73.5,35.9,24.0,40.0
Niger,2006 D,0.677,93.4,"12,774",72.5,3.4,86.1,35.2,24.5,40.3
Nigeria,2013 D,0.279,50.9,"88,425",54.8,18.4,30.0,29.8,29.8,40.4
Nigeria,2011 M,0.239,43.3,"71,014",55.2,17.0,25.7,26.9,32.6,40.4
Nigeria,2008 D,0.294,53.8,"81,357",54.7,18.2,31.4,27.2,30.8,42.0
Pakistan,2012/2013 D,0.237,45.6,"83,045",52.0,14.9,26.5,36.2,32.3,31.6
Pakistan,2006/2007 D,0.218,43.5,"71,378",50.0,13.2,21.7,43.0,19.7,37.3
Palestine (State of),2010 M,0.007,1.9,75,37.4,6.2,0.1,13.9,68.8,17.3
Palestine (State of),2006/2007 N,0.007,2.0,74,36.9,7.4,0.1,16.6,72.3,11.1
Peru,2012 D,0.043,10.4,"3,132",41.4,12.3,2.1,19.4,29.8,50.8
Peru,2011 D,0.051,12.2,"3,607",42.2,12.3,2.8,20.2,29.0,50.8
Peru,2010 D,0.056,13.2,"3,859",42.1,14.3,3.1,18.3,30.3,51.4
Peru,2008 D,0.069,16.1,"4,605",42.7,15.1,3.9,17.9,29.1,53.0
Philippines,2013 D,0.033,6.3,"6,221",51.9,8.4,4.2,35.3,30.2,34.5
Philippines,2008 D,0.038,7.3,"6,559",51.9,12.2,5.0,37.1,25.7,37.2
Rwanda,2010 D,0.352,70.8,"7,669",49.7,17.9,34.6,23.8,27.2,49.0
Rwanda,2005 D,0.481,86.5,"8,155",55.6,9.7,60.4,23.3,22.3,54.4
Senegal,2014 D,0.278,51.9,"7,556",53.5,18.1,30.8,43.6,23.1,33.4
