Entity,Code,Year,"Total population (Gapminder, HYDE & UN)",Continent,"Health expenditure per capita, PPP (constant 2011 international $)","Life expectancy at birth, total (years)"
Africa,,-10000,241901,,,
Africa,,-9000,342782,,,
Africa,,-8000,490284,,,
Africa,,-7000,707844,,,
Africa,,-6000,1031529,,,
Africa,,-5000,1517227,,,
Africa,,-4000,2352091,,,
Africa,,-3000,4147835,,,
Africa,,-2000,6259743,,,
Africa,,-1000,9263872,,,
Africa,,0,15185668,,,
Africa,,100,16626739,,,
Africa,,200,18269986,,,
Africa,,300,19315228,,,
Africa,,400,20676600,,,
Africa,,500,22307212,,,
Africa,,600,24445556,,,
Africa,,700,28184552,,,
Africa,,800,32914604,,,
Africa,,900,37126288,,,
Africa,,1000,41465160,,,
Africa,,1100,44318856,,,
Africa,,1200,47743012,,,
Africa,,1300,53531812,,,
Africa,,1400,57880048,,,
Africa,,1500,62206640,,,
Africa,,1600,72815088,,,
Africa,,1700,80209440,,,
Africa,,1710,81333552,,,
Africa,,1720,81582976,,,
Africa,,1730,81891216,,,
Africa,,1740,82256496,,,
Africa,,1750,82677328,,,
Africa,,1760,83152512,,,
Africa,,1770,83681184,,,
Africa,,1780,84262792,,,
Africa,,1790,84900352,,,
Africa,,1800,85589224,,,
Africa,,1810,86829040,,,
Africa,,1820,89179576,,,
Africa,,1830,93551648,,,
Africa,,1840,98188272,,,
Africa,,1850,102932088,,,
Africa,,1860,107457472,,,
Africa,,1870,114300952,,,
Africa,,1880,122176248,,,
Africa,,1890,131305600,,,
Africa,,1900,140754896,,,
Africa,,1910,150280992,,,
Africa,,1920,164856080,,,
Africa,,1930,181280496,,,
Africa,,1940,200894592,,,
Africa,,1950,227794000,,,
Africa,,1951,232328000,,,
Africa,,1952,237096992,,,
Africa,,1953,242092000,,,
Africa,,1954,247311008,,,
Africa,,1955,252748992,,,
Africa,,1956,258408000,,,
Africa,,1957,264292000,,,
Africa,,1958,270407008,,,
Africa,,1959,276760992,,,
Africa,,1960,283360992,,,
Africa,,1961,290214016,,,
Africa,,1962,297323008,,,
Africa,,1963,304683008,,,
Africa,,1964,312292000,,,
Africa,,1965,320147008,,,
Africa,,1966,328256992,,,
Africa,,1967,336631008,,,
Africa,,1968,345280000,,,
Africa,,1969,354215008,,,
Africa,,1970,363448000,,,
Africa,,1971,372984000,,,
Africa,,1972,382838016,,,
Africa,,1973,393044000,,,
Africa,,1974,403646016,,,
Africa,,1975,414675008,,,
Africa,,1976,426144000,,,
Africa,,1977,438055008,,,
Africa,,1978,450404000,,,
Africa,,1979,463184000,,,
Africa,,1980,476385984,,,
Africa,,1981,490004000,,,
Africa,,1982,504033984,,,
Africa,,1983,518480000,,,
Africa,,1984,533344992,,,
Africa,,1985,548625984,,,
Africa,,1986,564326976,,,
Africa,,1987,580424000,,,
Africa,,1988,596849024,,,
Africa,,1989,613512000,,,
Africa,,1990,630350016,,,
Africa,,1991,647344000,,,
Africa,,1992,664512000,,,
Africa,,1993,681868992,,,
Africa,,1994,699444992,,,
Africa,,1995,717270016,,,
Africa,,1996,735361024,,,
Africa,,1997,753737984,,,
Africa,,1998,772436992,,,
Africa,,1999,791504000,,,
Africa,,2000,810984000,,,
Africa,,2001,830902976,,,
Africa,,2002,851297984,,,
Africa,,2003,872248000,,,
Africa,,2004,893843008,,,
Africa,,2005,916153984,,,
Africa,,2006,939209984,,,
Africa,,2007,963022016,,,
Africa,,2008,987624000,,,
Africa,,2009,1013046016,,,
Africa,,2010,1039304000,,,
Africa,,2011,1066409984,,,
Africa,,2012,1094343040,,,
Africa,,2013,1123044992,,,
Africa,,2014,1152434048,,,
Africa,,2015,1182439040,,,
Africa,,2016,1213041024,,,
Africa,,2017,1244221952,,,
Africa,,2018,1275921024,,,
Africa,,2019,1308064000,,,
Arab World,,1960,,,,46.825064996761
Arab World,,1961,,,,47.4076991023794
Arab World,,1962,,,,47.9888783365182
Arab World,,1963,,,,48.5722294115442
Arab World,,1964,,,,49.1591674208195
Arab World,,1965,,,,49.7443378740763
Arab World,,1966,,,,50.318999986414
Arab World,,1967,,,,50.8764612861687
Arab World,,1968,,,,51.4168697106976
